id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,is_expen,price_range
245,559,0,0.425384144,1,0,1,27,0.345675313,182,1,0,996,1007,1992,7,4,7,1,0,1,0,3
246,1026,1,2.473939193,1,0,0,12,0.081365434,181,5,14,1713,1916,3817,16,0,4,1,0,0,0,1
247,1026,1,2.37641267,1,0,0,2,0.079330766,179,7,7,193,1926,2680,9,3,19,1,0,0,0,2
248,590,0,0.420830029,1,0,1,20,0.027985189,89,1,4,38,1969,393,7,4,7,1,0,0,1,2
249,1178,1,1.093098023,1,0,1,21,0.359799921,200,5,7,153,1944,2690,10,0,4,1,1,1,0,0
250,591,0,0.425618157,1,0,1,20,0.026805451,111,1,4,41,1973,398,7,4,7,1,0,0,1,2
251,1148,1,1.633896562,0,0,0,2,0.791544628,182,6,5,173,1929,2698,18,6,20,1,1,0,0,1
252,580,0,0.428142989,0,0,1,32,0.369340561,146,5,14,154,654,2646,16,0,6,1,0,1,0,2
253,1163,0,0.469732358,0,1,0,9,0.02493062,114,7,4,167,997,1616,7,3,11,1,0,1,0,3
254,1828,1,0.463477952,1,0,1,32,0.547213905,175,1,7,151,1603,2688,14,10,13,1,1,0,0,2
255,1786,0,1.106262751,1,0,0,12,0.768831682,178,1,3,153,1519,3582,7,4,6,0,0,0,0,1
256,594,0,0.423060065,1,0,1,20,0.026990412,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
257,1167,0,1.162287276,1,0,1,27,0.076883227,112,8,14,163,676,3492,16,5,6,1,1,1,0,1
258,1164,1,0.470830076,1,0,0,27,0.796465574,146,8,14,152,1921,1594,16,0,6,1,0,0,0,1
259,531,1,2.455041631,1,0,1,16,0.801202565,114,8,0,27,897,3440,16,0,2,1,0,1,0,2
260,595,0,0.422710215,1,0,1,20,0.026792267,111,1,4,41,1972,398,7,4,7,1,0,0,1,2
261,600,0,0.421756568,1,0,1,20,0.026893933,111,1,4,41,1969,398,7,4,7,1,0,0,1,2
262,1026,1,1.828380202,0,0,1,49,0.091034842,201,4,10,186,1941,3392,17,6,12,1,1,0,0,0
263,592,0,0.423431234,1,0,1,20,0.027078806,111,1,4,41,1969,396,7,4,7,1,0,0,1,2
264,584,0,0.424062548,1,0,1,20,0.026579724,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
265,1799,0,1.647840366,1,0,1,20,0.81008986,200,8,4,181,644,3308,9,5,2,1,0,0,0,3
266,1141,1,0.439206396,0,1,0,37,0.354056431,202,7,10,150,1538,2664,7,3,8,1,0,1,0,3
267,1026,0,0.44468597,0,0,1,32,0.032925159,111,6,7,156,648,2660,7,0,2,1,0,1,0,2
268,1026,0,1.847980346,0,4,1,8,0.072516269,179,1,3,594,952,2687,9,3,13,1,1,0,0,0
269,595,0,0.424523578,1,0,1,20,0.026637627,111,1,4,44,1973,397,7,4,7,1,0,0,1,2
270,1492,0,1.07492135,0,0,1,7,0.346742228,182,8,3,168,657,3629,16,3,4,1,1,1,0,2
271,1518,1,0.481072746,1,0,1,12,0.080942388,183,7,0,223,659,1990,9,11,11,1,0,1,0,2
272,539,0,0.439524673,1,0,1,14,0.353667646,110,2,3,974,1804,3520,10,5,8,1,0,1,0,0
273,1142,0,1.619631294,0,1,0,57,0.348940616,202,7,3,176,1434,2019,8,1,9,1,0,0,0,1
274,1474,0,1.851262432,0,0,0,39,0.579570369,201,8,3,176,909,2644,11,3,19,1,1,1,0,0
275,516,1,0.443787102,0,0,0,2,0.816399364,201,4,14,1601,1484,1584,16,10,15,1,0,0,0,1
276,600,0,0.475442743,1,0,1,32,0.084340378,178,7,0,260,626,2013,9,6,8,1,0,0,0,2
277,1820,0,1.84333401,1,0,1,32,0.028352976,182,3,7,613,670,2680,12,3,6,1,0,0,0,1
278,1144,0,1.085700811,0,0,1,13,0.799854335,179,4,3,178,1913,3393,16,3,13,1,0,0,0,2
279,1845,0,0.437432408,0,0,0,12,0.796079075,202,7,3,166,1915,1615,16,3,15,1,0,0,0,1
280,1150,0,2.417988186,0,0,1,16,0.791838643,181,8,4,153,1076,1990,7,4,8,1,1,0,0,0
281,1856,0,1.68242273,0,0,0,43,0.786440448,145,8,7,158,1947,1572,10,6,12,1,1,0,0,1
282,595,0,0.421678951,1,0,1,20,0.026939131,111,1,4,43,1972,398,7,4,7,1,0,0,1,2
283,1786,0,1.66654268,1,0,0,44,0.024901434,140,1,3,132,968,1612,11,3,4,1,0,1,0,0
284,594,0,0.422741151,1,0,1,20,0.026925524,111,1,4,40,1972,397,7,4,7,1,0,0,1,2
285,1026,0,2.441682611,0,0,1,27,0.073315573,112,7,9,43,653,3831,10,5,3,1,1,0,0,2
286,597,0,0.435754255,1,0,1,32,0.359776064,178,4,7,632,661,3390,17,1,7,1,0,1,0,1
287,603,0,0.423208014,1,0,1,20,0.027095211,88,1,4,180,1969,394,7,4,7,1,0,0,1,2
288,603,0,0.423042106,1,0,1,20,0.027049533,110,1,4,42,1973,397,7,4,7,1,0,0,1,2
289,591,0,0.421637747,1,0,1,20,0.026651234,110,1,4,42,1972,397,7,4,7,1,0,0,1,2
290,1796,0,0.425888894,0,0,1,12,0.099577443,202,8,4,44,1061,3376,17,3,19,1,1,0,0,2
291,1508,0,1.843355557,1,0,1,8,0.084670123,179,4,14,1034,694,2002,9,1,8,1,0,0,0,3
292,1802,0,0.456002325,1,0,0,31,0.547657028,147,3,0,186,683,2712,7,4,2,1,0,1,0,1
293,615,1,0.434745968,0,0,1,12,0.356445949,183,4,3,608,704,2007,15,3,3,1,0,1,0,3
294,1813,0,0.493963162,1,0,0,27,0.028362397,143,3,9,31,1528,3381,16,8,9,1,0,1,0,2
295,1026,1,0.470806151,1,0,1,21,0.343988443,177,1,7,229,1050,3395,14,11,6,1,1,1,0,3
296,1026,1,1.851997804,1,0,0,9,0.801419055,139,8,0,41,693,1605,16,7,6,1,1,0,0,2
297,1143,0,1.061061905,1,0,0,15,0.789886539,146,5,14,145,1539,3487,16,0,4,1,0,0,0,1
298,1472,1,2.3619926,1,0,1,27,0.027808829,172,1,1,44,969,3429,7,2,3,1,0,0,0,1
299,601,0,0.424165282,1,0,1,20,0.027025352,110,1,4,41,1973,398,7,4,7,1,0,0,1,2
300,1026,0,0.434179065,0,0,1,8,0.569944752,179,1,20,602,671,2667,18,7,11,1,0,0,0,2
301,1503,0,1.073563767,1,0,1,12,0.776151769,200,6,10,226,1934,2684,7,0,6,1,1,1,0,3
302,590,0,0.424287144,1,0,1,20,0.026840761,111,1,4,41,1974,399,7,4,7,1,0,0,1,2
303,1468,0,2.405444123,0,0,1,12,0.092528286,201,7,0,217,1541,366,9,3,7,1,0,1,0,3
304,593,0,0.421789746,1,0,1,31,0.089737564,180,1,4,204,984,1516,15,7,6,1,1,1,0,3
305,1783,0,2.431228023,1,0,0,27,0.080088978,180,1,1,171,1097,3823,7,3,13,1,1,1,0,2
306,1463,1,2.396892463,1,0,1,27,0.073983933,147,7,4,221,1572,2017,14,11,8,1,0,0,0,2
307,596,0,0.425050862,1,0,1,20,0.026955486,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
308,1159,1,0.462470235,1,0,1,21,0.352720371,179,1,7,189,1088,3289,7,1,13,1,0,1,0,3
309,590,0,0.423197251,1,0,1,20,0.026652478,110,1,4,183,1973,394,7,4,7,1,0,0,1,2
310,1167,0,1.696705414,1,0,0,16,0.074702976,180,8,4,39,1103,1533,17,4,19,1,1,0,0,0
311,1026,1,0.476877797,1,0,1,9,0.08851711,145,7,7,180,1094,2719,18,0,11,1,0,0,0,2
312,1166,0,1.632833865,1,0,0,36,0.073247287,202,3,4,249,649,3854,18,1,9,1,0,1,0,1
313,1804,0,0.436786163,0,0,0,27,0.083747826,202,8,14,633,1030,3554,9,3,15,1,1,1,0,1
314,1167,0,2.446901113,1,0,0,12,0.545484297,203,7,14,168,1928,1579,16,6,2,1,0,1,0,2
315,1784,0,0.46564786,0,0,0,54,0.091571118,203,6,3,1057,675,3687,9,3,6,1,0,0,0,2
316,1159,0,0.428733514,1,0,0,12,0.025911306,180,2,19,147,1804,3345,16,1,8,1,0,1,0,2
317,535,0,1.632071886,0,3,0,2,0.775072184,199,4,10,595,1805,3407,14,3,8,1,1,1,0,3
318,1155,0,0.441386827,1,0,1,49,0.370151984,174,5,4,670,1804,3362,16,1,8,1,0,0,0,1
319,1150,0,1.089041338,0,0,0,15,0.816627179,202,1,7,186,1579,1610,9,3,20,1,1,1,0,0
320,1169,1,0.457414878,1,0,0,20,0.821877392,145,1,4,200,1112,3411,10,7,7,1,0,1,0,2
321,527,1,1.085530851,0,0,1,15,0.773935835,148,1,1,194,1943,3401,18,5,20,1,1,1,0,1
322,1165,1,2.443114411,0,0,1,26,0.367491881,183,7,3,213,1042,1982,18,5,20,1,1,0,0,0
323,1026,1,0.438255613,0,0,1,32,0.348152357,202,7,1,994,687,2641,11,1,11,1,1,1,0,3
324,1834,0,2.395193403,1,0,1,46,0.028200091,178,3,4,221,1507,2003,7,0,13,1,1,0,0,3
325,1026,0,0.478305207,0,0,1,32,0.349903809,147,2,20,617,644,2684,12,3,11,1,1,1,0,1
326,1026,0,2.465686194,0,0,1,32,0.087075346,143,4,4,233,671,257,7,5,9,1,1,1,0,0
327,1026,1,0.445397994,0,0,1,12,0.102766957,202,7,0,174,1932,1988,9,6,8,1,1,0,0,0
328,1821,0,0.419935861,1,0,1,20,0.026745189,112,1,4,179,1966,389,7,4,7,1,0,0,1,2
329,611,0,0.419783567,1,0,1,20,0.026857653,89,1,4,37,1968,392,7,4,7,1,0,0,1,2
330,1175,0,0.446917323,0,0,1,32,0.800634026,179,6,9,182,1921,2663,7,1,6,1,1,0,0,2
331,573,0,0.420516807,1,0,1,20,0.027777007,89,1,4,35,1968,390,7,4,7,1,0,0,1,2
332,590,0,0.420883631,1,0,1,20,0.026862452,111,1,4,41,1974,399,7,4,7,1,0,0,1,2
333,1026,0,0.461652841,1,0,1,32,0.819966383,181,7,0,190,663,1989,17,2,7,1,0,0,0,2
334,1162,0,0.442870786,0,0,1,32,0.368396633,181,1,3,604,1805,3400,15,3,4,1,0,0,0,1
335,1810,0,1.055324236,0,7,0,37,0.548519313,202,8,19,147,1490,1639,18,1,8,1,1,0,0,2
336,615,0,0.464590797,1,0,0,20,0.361794525,89,1,3,175,1919,400,10,0,12,1,0,0,1,0
337,1784,0,1.622577757,0,0,1,12,0.065698607,146,2,3,174,1544,2002,9,5,7,1,1,1,0,1
338,1026,1,0.427619747,1,0,1,20,0.074080737,113,8,7,606,991,2680,7,1,15,1,1,0,0,0
339,1803,0,0.422727796,1,0,1,12,0.806718735,147,6,7,163,1806,3413,15,11,20,1,1,0,0,1
340,1026,1,1.622375315,0,0,1,2,0.771201404,178,4,1,169,1929,3393,18,11,20,1,0,0,0,2
341,1152,0,0.429970957,1,0,0,21,0.797782393,113,7,0,156,1400,1437,16,0,4,1,0,1,0,0
342,1171,1,1.639394453,1,0,1,32,0.366995566,178,4,14,209,672,1513,8,7,8,1,0,0,0,1
343,1145,0,2.424898411,0,0,1,51,0.026873054,174,1,7,957,1048,3838,16,0,8,1,0,1,0,0
344,1779,1,0.464404687,1,0,0,2,0.792827042,180,7,17,1664,1564,1967,16,1,15,1,1,1,0,1
345,585,0,0.419372697,1,0,1,20,0.026955659,88,1,4,170,1970,394,7,4,7,1,0,0,1,2
346,513,0,0.437097112,0,3,0,16,0.026766273,176,5,7,941,1493,3439,16,0,15,1,1,1,0,0
347,1161,0,0.4567223,0,0,0,14,0.027208009,114,3,3,241,625,2076,18,1,9,1,0,0,0,1
348,594,0,0.434411598,1,0,1,32,0.084366,180,3,19,239,1555,3454,14,5,9,1,1,0,0,1
349,1164,0,2.410762482,1,0,1,27,0.025459276,145,3,4,39,1023,3757,14,5,9,1,0,0,0,1
350,1175,1,1.83285758,1,0,1,8,0.552996728,178,6,14,1613,635,2009,16,6,6,1,0,1,0,2
351,1026,1,0.461099936,1,1,1,43,0.791756934,114,7,7,984,1578,2005,11,1,11,1,0,0,0,3
352,597,0,0.417907748,1,0,1,20,0.027488781,89,1,4,178,1971,393,7,4,7,1,0,0,1,2
353,595,0,0.42257938,1,0,1,20,0.026842198,111,1,4,40,1972,398,7,4,7,1,0,0,1,2
354,597,0,2.396398312,0,0,1,16,0.062565052,178,7,4,183,1032,3822,16,4,15,1,1,0,0,2
355,595,0,1.711081125,1,0,1,12,0.082404632,201,8,7,244,1926,3441,16,6,15,1,1,0,0,1
356,1164,1,2.392598364,1,0,0,60,0.083690342,181,3,1,205,993,3661,14,2,13,1,1,1,0,3
357,1026,0,0.44033536,0,0,1,60,0.082237066,202,7,3,165,992,2733,9,3,20,1,0,0,0,1
358,1141,1,1.834710297,1,0,1,27,0.353459824,113,8,3,158,683,3377,17,7,6,1,1,0,0,1
359,1499,0,1.830010471,0,0,1,2,0.800384716,146,1,4,603,998,3385,15,3,15,1,1,1,0,1
360,1790,0,0.440632607,1,0,1,9,0.835918863,146,2,0,620,681,1563,18,0,2,1,0,0,0,3
361,1163,0,0.459188681,1,0,0,12,0.546398544,175,6,3,189,1948,1597,7,6,6,0,0,0,0,2
362,1140,0,0.482970107,0,0,0,32,0.346695546,202,4,1,163,654,3847,14,6,20,1,1,1,0,1
363,1457,0,1.645293221,1,0,1,57,0.348185236,114,1,1,1032,1041,1992,14,1,15,1,0,1,0,3
364,1463,0,1.880987089,1,0,1,21,0.34859109,183,3,0,231,1570,2007,18,6,6,1,0,1,0,3
365,1145,1,2.375117562,0,0,0,27,0.084314171,182,4,3,257,929,3822,16,0,4,1,0,1,0,2
366,525,1,1.833807095,0,0,1,32,0.798504206,181,7,10,159,643,3397,6,7,16,1,1,0,0,3
367,1484,0,1.83562832,1,0,1,49,0.364868842,168,4,20,620,1390,3384,9,3,8,1,1,1,0,0
368,1159,1,0.434424604,1,0,0,32,0.027963096,177,5,3,982,1028,2005,11,3,6,1,0,1,0,1
369,1812,0,0.418333859,1,0,1,20,0.027367604,113,1,4,54,1970,384,7,4,7,1,0,0,1,2
370,595,0,0.421820615,1,0,1,20,0.026827116,111,1,4,169,1972,397,7,4,7,1,0,0,1,2
371,586,0,2.412094151,1,0,1,2,0.819395373,173,4,10,152,1032,1992,10,4,8,1,1,1,0,0
372,595,0,0.42236098,1,0,1,20,0.027029075,111,1,4,42,1972,398,7,4,7,1,0,0,1,2
373,599,0,0.431669186,0,0,1,12,0.066416231,182,4,1,218,985,3501,15,1,7,1,0,1,0,0
374,1497,0,2.368345093,0,1,1,15,0.805029696,114,3,2,158,1133,1535,18,5,15,1,1,1,0,3
375,1777,1,0.479412023,0,0,1,32,0.812635504,114,7,3,657,1599,2005,18,3,15,1,1,1,0,2
376,1026,1,0.437366117,0,0,1,12,0.030537794,145,2,3,194,660,1992,5,1,11,1,0,0,0,2
377,1166,0,1.652193075,0,0,1,51,0.33991002,112,2,3,937,1141,3478,9,2,2,1,0,1,0,0
378,1782,1,0.423513596,1,0,1,12,0.769935242,202,7,3,186,1929,3424,17,0,12,1,0,0,0,1
379,1516,0,0.458372412,1,0,1,49,0.089239385,181,7,3,663,1804,2687,9,3,8,1,1,1,0,0
380,1026,1,1.643649628,0,0,1,33,0.809387313,144,2,1,153,1074,2684,8,2,17,1,1,0,0,1
381,1026,0,1.835158426,0,0,1,8,0.356661853,180,1,10,588,1422,3808,9,3,3,1,1,1,0,1
382,1026,1,0.442473596,1,0,1,12,0.085498822,146,7,3,157,1929,1999,17,6,13,1,1,1,0,1
383,1182,1,0.424340081,1,0,0,32,0.825087742,146,6,14,30,673,1982,10,5,6,1,0,1,0,1
384,1157,0,2.365987929,1,0,1,12,0.070799911,202,1,20,1018,1805,3381,15,3,4,1,0,1,0,1
385,1819,1,2.475252827,1,0,0,33,0.818834618,142,8,4,190,1510,3553,9,5,17,1,0,1,0,0
386,610,0,0.418552045,1,0,1,20,0.027445876,88,1,4,180,1963,394,7,4,7,1,0,0,1,2
387,1164,1,0.455678429,0,0,0,54,0.797895287,202,7,3,177,1805,2671,18,3,20,1,0,1,0,0
388,538,1,0.490925911,0,6,1,2,0.338925437,148,7,7,1007,1029,3470,15,3,15,1,1,1,0,0
389,1026,1,2.494573951,1,0,1,33,0.360398823,201,8,0,169,675,3415,9,4,8,1,1,0,0,0
390,1026,1,0.47809127,0,0,0,32,0.774831512,147,4,7,140,1921,3424,16,3,20,1,1,0,0,2
391,601,0,0.417942126,1,0,1,16,0.029811934,179,1,4,196,1004,3411,15,1,7,1,0,0,0,2
392,1140,0,0.495255182,0,9,0,8,0.359135994,200,1,15,193,651,3477,10,7,3,1,1,1,0,0
393,1026,1,0.476694696,0,8,0,15,0.061154402,148,2,3,262,1805,3567,17,3,19,1,1,0,0,3
394,1181,0,0.459307153,1,0,1,32,0.346196483,180,4,5,137,1162,2682,7,6,3,1,0,1,0,2
395,652,1,2.419104496,1,0,1,2,0.784847138,87,4,10,586,1063,3434,16,5,15,1,1,1,0,3
396,1026,0,1.052335931,0,0,0,60,0.356127395,202,7,4,1010,1518,3695,5,1,11,1,0,0,0,1
397,557,0,0.43271342,1,0,1,12,0.087697429,89,6,17,208,1806,2700,17,3,20,1,1,0,0,2
398,545,0,0.433541496,0,0,0,12,0.576346211,114,8,7,249,658,679,10,3,15,1,0,1,0,2
399,1822,1,1.128151266,1,0,1,12,0.080812678,179,7,4,217,621,2010,7,8,4,1,0,1,0,2
400,586,0,0.423069281,1,0,1,20,0.026667506,111,1,4,42,1973,398,7,4,7,1,0,0,1,2
401,1145,1,2.421263283,1,0,1,51,0.357458004,171,1,11,142,1915,3313,10,0,2,1,0,1,0,1
402,571,0,0.416477828,1,0,1,20,0.027481196,89,1,4,39,1973,392,7,4,7,1,0,0,1,2
403,1163,0,0.425367214,0,0,0,27,0.027473426,201,1,15,189,1033,2025,8,3,19,1,0,0,0,1
404,603,0,0.437603535,0,0,1,12,0.065411188,89,7,1,172,1548,3608,9,1,11,1,0,0,0,3
405,1026,0,0.500497661,1,0,0,8,0.076682562,174,5,12,1587,1474,652,16,3,5,1,0,1,0,2
406,1164,0,0.471936189,1,0,1,21,0.073717726,180,3,0,1007,650,3446,8,1,2,1,1,1,0,1
407,596,0,0.423918677,1,0,1,20,0.0271474,111,1,4,42,1973,394,7,4,7,1,0,0,1,2
408,1183,1,0.436758048,1,0,0,15,0.816066673,144,8,19,150,657,1992,10,3,11,1,0,0,0,3
409,1141,1,1.071257435,1,0,1,12,0.071925217,181,2,14,198,1503,1579,12,11,8,1,0,0,0,1
410,603,0,0.422524142,1,0,1,20,0.026278065,111,1,4,43,1974,398,7,4,7,1,0,0,1,2
411,1494,0,1.725723723,1,0,1,12,0.064621243,176,7,0,174,1089,1973,16,6,15,1,0,1,0,2
412,1175,1,2.400429906,0,0,0,32,0.029738707,113,6,3,168,659,2000,9,5,6,1,0,1,0,3
413,594,0,0.425156971,1,0,1,20,0.027214801,110,1,4,43,1973,398,7,4,7,1,0,0,1,2
414,1809,0,1.837199851,0,0,1,12,0.079219456,177,5,20,352,1932,3697,17,3,13,1,0,0,0,1
415,1821,0,2.438207291,1,0,1,15,0.077369493,114,7,0,249,1101,499,17,2,11,1,0,0,0,1
416,518,1,1.040333781,1,0,1,46,0.806415918,177,7,1,240,1928,1499,17,11,20,1,0,0,0,1
417,1143,0,2.402405712,0,0,1,16,0.027241572,145,6,7,157,1118,1989,14,5,15,1,1,0,0,0
418,1150,1,1.617038367,1,0,1,31,0.772307187,202,1,1,166,1922,3431,7,1,7,1,1,0,0,1
419,593,0,0.422008524,1,0,1,20,0.026823285,111,1,4,41,1971,397,7,4,7,1,0,0,1,2
420,598,0,0.422527591,1,0,1,20,0.026922254,89,1,4,163,1971,395,7,4,7,1,0,0,1,2
421,1183,0,1.652861627,1,0,1,33,0.074726105,141,1,1,963,1059,660,9,3,11,1,1,0,0,3
422,1148,1,2.416538659,0,0,0,32,0.025356126,147,7,3,952,637,1993,16,3,6,1,1,1,0,2
423,546,0,0.444707541,1,0,1,49,0.072091853,138,2,20,150,1804,3393,7,5,8,1,0,1,0,0
424,552,0,1.898463244,1,0,1,36,0.092737295,112,2,1,199,1085,467,10,8,7,1,0,1,0,0
425,591,0,0.42210738,1,0,1,20,0.026848633,111,1,4,41,1973,395,7,4,7,1,0,0,1,2
426,596,0,0.421895308,1,0,1,20,0.026939778,111,1,4,41,1972,399,7,4,7,1,0,0,1,2
427,1170,1,0.434525917,0,0,1,51,0.067007632,178,7,7,172,1471,3496,17,2,19,1,0,1,0,1
428,1141,1,1.047825553,0,0,0,12,0.764782048,183,7,7,142,1941,1571,9,3,15,1,1,0,0,1
429,1157,0,2.423822355,1,0,1,32,0.357152987,172,4,1,587,992,3686,9,4,8,1,0,1,0,0
430,564,1,0.443177626,0,1,0,49,0.84458616,114,6,10,31,695,1520,15,7,15,1,1,1,0,3
431,1491,0,1.194471345,1,0,1,8,0.795856872,147,7,19,169,746,1993,15,5,15,1,1,1,0,3
432,522,0,0.431448461,0,0,1,12,0.818067049,202,2,2,597,951,2034,18,3,19,1,1,0,0,1
433,1512,0,0.454286655,1,0,1,31,0.335898697,178,1,1,189,1919,3416,18,1,20,1,1,0,0,2
434,1154,0,2.367850507,0,0,1,49,0.363408843,176,1,4,196,1541,3460,7,5,9,1,1,0,0,3
435,1846,0,1.058874724,1,0,0,21,0.060574751,201,2,19,969,648,1594,16,6,6,1,0,1,0,1
436,592,0,0.425039188,1,0,1,20,0.02695197,111,1,4,41,1972,398,7,4,7,1,0,0,1,2
437,517,0,0.436979787,1,0,1,32,0.810409775,181,7,19,243,648,2666,17,5,15,1,1,0,0,3
438,560,1,2.428855418,0,0,1,60,0.347251753,177,5,14,139,1082,2072,10,5,8,1,1,0,0,0
439,595,0,0.421905983,1,0,1,20,0.026577784,111,1,4,41,1972,398,7,4,7,1,0,0,1,2
440,1026,0,0.531993766,0,1,0,32,0.030110258,143,4,10,178,667,1993,16,3,6,1,1,1,0,2
441,1182,1,0.432402235,1,0,1,32,0.025645227,144,1,7,1032,620,1976,14,1,19,1,0,0,0,3
442,1026,0,2.406666038,1,0,0,21,0.351631962,146,4,2,150,1574,1648,12,7,6,1,0,1,0,2
443,1026,0,0.489953975,0,0,1,32,0.076633792,111,5,0,985,1173,1975,12,11,2,1,0,1,0,3
444,1026,0,2.409630434,0,0,0,32,0.080648088,181,7,14,194,1929,2682,12,3,19,1,0,1,0,1
445,519,0,1.870193088,1,0,1,33,0.087830287,146,2,1,625,707,2651,7,1,19,1,1,1,0,0
446,1827,0,1.67284093,0,0,0,43,0.791003156,202,4,1,31,1931,1511,18,6,12,1,1,0,0,1
447,1793,0,2.422163513,1,0,0,60,0.02739939,143,8,4,39,1094,1470,17,4,19,1,0,0,0,1
448,602,0,0.418237647,1,0,1,20,0.026994872,88,1,4,155,1972,394,7,4,7,1,0,0,1,2
449,602,0,0.426783469,1,0,1,32,0.353241429,181,8,7,139,1918,2658,19,1,8,1,1,1,0,0
450,634,1,1.068308904,0,1,0,23,0.02400807,179,3,7,358,676,3435,10,1,15,1,1,1,0,1
451,1834,0,2.450797608,0,0,1,27,0.063665901,177,1,19,587,1078,3803,15,3,15,1,1,1,0,3
452,599,0,0.426606464,1,0,1,20,0.027100204,110,1,4,42,1973,398,7,4,7,1,0,0,1,2
453,1026,1,1.065963425,1,6,1,12,0.796343919,144,7,7,971,1111,1981,10,1,15,1,1,0,0,3
454,598,0,0.422053,1,0,1,20,0.026841986,111,1,4,45,1973,397,7,4,7,1,0,0,1,2
455,1167,0,1.106034123,1,0,1,54,0.782281936,112,1,10,138,1068,3503,10,3,3,1,1,1,0,1
456,514,0,0.461318692,0,0,1,2,0.81523295,147,2,3,157,657,1999,18,7,6,1,0,1,0,2
457,611,0,1.106053751,0,0,1,32,0.547330458,114,1,9,174,708,2712,9,5,6,1,0,1,0,1
458,1479,1,0.434652835,0,1,1,57,0.346543013,174,1,3,200,1469,3438,9,5,6,1,0,1,0,1
459,1146,1,1.638364001,1,0,0,27,0.066372982,202,8,7,160,1957,1528,17,3,19,1,1,0,0,0
460,1165,1,0.485724584,1,0,1,32,0.353224443,113,7,7,238,714,464,10,3,6,1,0,1,0,1
461,540,0,2.358098498,1,0,1,27,0.070371896,201,3,0,970,1076,2016,18,8,9,1,0,1,0,2
462,561,0,0.476566319,1,0,1,27,0.089086853,202,3,19,281,671,3489,7,5,3,1,1,1,0,1
463,597,0,0.424790059,1,0,1,20,0.026998808,111,1,4,41,1973,398,7,4,7,1,0,0,1,2
464,592,0,0.422195175,1,0,1,20,0.026984971,111,1,4,41,1972,398,7,4,7,1,0,0,1,2
465,542,1,1.653478703,0,0,1,12,0.025218407,140,3,15,188,1923,3398,18,3,12,1,1,0,0,0
466,1812,0,0.422956642,1,0,1,20,0.026722039,110,1,4,183,1973,392,7,4,7,1,0,0,1,2
467,608,0,0.456829254,1,0,1,20,0.063217585,89,1,4,589,1170,3462,17,4,7,1,0,0,0,2
468,1478,0,1.121640105,1,0,1,37,0.547511566,202,1,14,156,717,1488,7,1,8,1,1,1,0,2
469,608,1,0.447610864,0,0,0,7,0.02785923,173,1,3,34,1005,3370,10,10,7,1,0,1,0,2
470,568,0,0.41766836,1,0,1,27,0.357687676,178,7,1,225,1921,3420,16,1,20,1,1,0,0,1
471,1171,0,0.434333603,1,0,0,12,0.77906646,114,4,11,237,624,3444,10,0,15,1,0,1,0,3
472,1161,0,0.483050333,0,0,0,27,0.02761989,145,3,1,979,987,2053,14,0,6,1,0,1,0,3
473,1459,0,2.421497936,1,0,1,12,0.074632079,181,1,1,217,1946,3372,10,6,8,1,1,1,0,0
474,1798,1,2.413005239,0,0,1,32,0.08045813,180,8,4,176,1071,3677,9,3,7,1,1,0,0,1
475,1026,1,1.836895095,0,0,1,15,0.831322754,147,7,9,153,993,2010,10,5,20,1,1,0,0,0
476,1139,0,1.092184886,0,0,1,33,0.555199503,146,6,9,170,681,2699,12,5,2,1,0,0,0,1
477,1166,1,1.655538846,1,0,1,32,0.812369278,114,7,0,154,650,1988,16,1,2,1,0,0,0,3
478,1138,1,1.663241994,1,0,0,31,0.777503254,178,4,14,159,1120,1530,14,1,6,1,0,1,0,2
479,1026,1,1.629707741,0,0,1,12,0.793560806,148,4,1,224,1940,3413,9,11,12,1,0,0,0,1
480,1143,1,2.404230139,1,0,0,14,0.806926098,183,7,1,229,959,3355,17,1,7,1,1,0,0,3
481,536,0,0.450703213,1,0,0,27,0.548381175,89,3,3,222,1948,391,7,2,14,1,0,0,1,2
482,600,0,2.422620052,0,0,0,53,0.783486402,144,7,15,155,1922,2000,16,6,15,1,0,1,0,2
483,1773,0,0.420004832,1,0,1,12,0.778612666,180,1,0,951,1034,3541,9,11,4,1,1,1,0,1
484,598,0,0.421399937,1,0,1,20,0.026998039,111,1,4,41,1972,398,7,4,7,1,0,0,1,2
485,1515,0,0.45986672,0,0,0,15,0.026520052,179,3,4,305,1005,1746,16,1,19,1,0,0,0,2
486,590,0,0.423776679,1,0,1,20,0.026722063,111,1,4,39,1974,397,7,4,7,1,0,0,1,2
487,1458,0,1.174437156,1,0,1,33,0.350280482,113,1,1,1027,1021,2004,9,0,2,1,0,0,0,2
488,594,0,0.420170148,1,0,1,20,0.026992261,111,1,4,39,1972,397,7,4,7,1,0,0,1,2
489,1497,0,0.44121091,1,0,1,20,0.02519246,89,1,4,148,1103,397,7,4,7,1,0,0,1,2
490,1026,1,0.450482348,1,0,1,32,0.774545446,183,1,1,156,1919,3335,10,11,12,1,1,0,0,1
491,1178,1,2.363946656,0,0,1,45,0.066594575,182,7,4,145,999,3633,9,1,11,1,1,0,0,1
